Baseline,LSTM,Linear,Neural
1.077974884,1.018936162,1.18E+00,1.11E+00
1.072247425,1.010738462,1.18E+00,1.11E+00
1.073921067,1.016763733,1.19E+00,1.10E+00
1.073921067,1.026326921,1.20E+00,1.11E+00
1.073921067,1.026241416,1.20E+00,1.10E+00
1.074297495,1.027963459,1.20E+00,1.11E+00
1.075650166,1.026065207,1.20E+00,1.09E+00
1.076520376,1.028182056,1.20E+00,1.08E+00
1.076981128,1.022557209,1.21E+00,1.09E+00
1.075149445,1.020826105,1.21E+00,1.10E+00
1.075393659,1.024973419,1.21E+00,1.10E+00
1.076596853,1.021107849,1.21E+00,1.11E+00
1.069357737,1.021192758,1.22E+00,1.11E+00
1.067971921,1.021751039,1.22E+00,1.12E+00
1.068309723,1.022913776,1.22E+00,1.12E+00
1.068309723,1.024926314,1.21E+00,1.10E+00
1.068309723,1.012559695,1.21E+00,1.11E+00
1.068309723,1.015423897,1.20E+00,1.10E+00
1.068539715,1.022661076,1.20E+00,1.11E+00
1.067410524,1.025369892,1.21E+00,1.11E+00
1.066530033,1.020483644,1.22E+00,1.11E+00
1.066530033,1.022051495,1.22E+00,1.12E+00
1.066530033,1.01242121,1.21E+00,1.11E+00
1.066530033,1.016013729,1.21E+00,1.11E+00
1.066530033,1.014825223,1.23E+00,1.11E+00
1.066530033,1.017611782,1.23E+00,1.12E+00
1.067058847,1.019299582,1.22E+00,1.10E+00
1.067661732,1.014170863,1.22E+00,1.10E+00
1.06796997,1.015958678,1.23E+00,1.10E+00
1.0686052,1.015938367,1.22E+00,1.10E+00
1.068621231,1.012409606,1.23E+00,1.09E+00
1.069613876,1.020051241,1.23E+00,1.10E+00
1.069613876,1.016250355,1.23E+00,1.09E+00
1.070548639,1.01391564,1.24E+00,1.09E+00
1.070548639,1.01820964,1.25E+00,1.09E+00
1.070548639,1.017691746,1.25E+00,1.09E+00
1.070548639,1.019959044,1.25E+00,1.08E+00
1.073641121,1.019308345,1.25E+00,1.08E+00
1.073641121,1.021271078,1.25E+00,1.07E+00
1.073617374,1.02368489,1.25E+00,1.07E+00
1.073699748,1.018359698,1.25E+00,1.07E+00
1.074431661,1.024257107,1.25E+00,1.07E+00
1.074431661,1.013960123,1.25E+00,1.08E+00
1.074431661,1.025154411,1.25E+00,1.08E+00
1.074431661,1.020474136,1.25E+00,1.08E+00
1.074597153,1.020016172,1.26E+00,1.08E+00
1.074597153,1.027747552,1.25E+00,1.08E+00
1.075023535,1.025272161,1.25E+00,1.08E+00
1.075597068,1.026891475,1.25E+00,1.08E+00
1.075597068,1.029962988,1.26E+00,1.09E+00
1.075597068,1.027533626,1.26E+00,1.09E+00
1.075737805,1.025240077,1.26E+00,1.09E+00
1.075737805,1.024407194,1.26E+00,1.09E+00
1.07589264,1.025036312,1.26E+00,1.09E+00
1.069267166,1.030939836,1.27E+00,1.09E+00
1.069267166,1.028391809,1.27E+00,1.09E+00
1.070797546,1.048244366,1.26E+00,1.08E+00
1.070875621,1.023127142,1.26E+00,1.08E+00
1.071804033,1.022045591,1.27E+00,1.09E+00
1.071804033,1.017385836,1.27E+00,1.10E+00
1.071804033,1.017987912,1.29E+00,1.09E+00
1.071804033,1.011597093,1.29E+00,1.09E+00
1.071804033,1.0131776,1.30E+00,1.09E+00
1.068109155,1.015467903,1.30E+00,1.06E+00
1.065231886,1.007986618,1.30E+00,1.06E+00
1.065231886,1.00531411,1.30E+00,1.06E+00
1.065310957,1.005663944,1.31E+00,1.06E+00
1.065310957,1.017167396,1.30E+00,1.06E+00
1.066020269,1.014137493,1.30E+00,1.06E+00
1.066020269,1.016333712,1.30E+00,1.07E+00
1.066020273,1.015515542,1.29E+00,1.08E+00
